Stations_id;Stationsname;geogr. Breite;geogr. Laenge;Stationshoehe;Bundesland;
          3;Aachen                                  ;   50.782659;    6.094087;          202;Nordrhein-Westfalen                     ;
         44;Großenkneten                            ;   52.933541;    8.236997;         43.5;Niedersachsen                           ;
         73;Aldersbach-Kriestorf                    ;   48.615935;   13.050595;          340;Bayern                                  ;
         78;Alfhausen                               ;   52.485314;    7.912553;           65;Niedersachsen                           ;
         91;Alsfeld-Eifa                            ;   50.744591;    9.344972;          300;Hessen                                  ;
        142;Altomünster-Maisbrunn                   ;   48.406038;   11.311716;          510;Bayern                                  ;
        150;Alzey                                   ;     49.7273;    8.116356;          215;Rheinland-Pfalz                         ;
        151;Amberg-Unterammersricht                 ;   49.469064;   11.854641;          383;Bayern                                  ;
        164;Angermünde                              ;   53.031601;    13.99066;           54;Brandenburg                             ;
        183;Arkona                                  ;    54.67916;   13.434252;           42;Mecklenburg-Vorpommern                  ;
        198;Artern                                  ;   51.374461;   11.291977;          164;Thüringen                               ;
        217;Attenkam                                ;   47.877407;   11.364245;          672;Bayern                                  ;
        232;Augsburg                                ;   48.425393;   10.942011;        461.4;Bayern                                  ;
        243;Aurich                                  ;   53.462052;    7.466971;            4;Niedersachsen                           ;
        257;Baden-Baden-Geroldsau                   ;    48.72696;    8.245757;          240;Baden-Württemberg                       ;
        259;Müllheim                                ;   47.806372;    7.638655;          273;Baden-Württemberg                       ;
        282;Bamberg                                 ;   49.874176;   10.920581;          240;Bayern                                  ;
        298;Barth                                   ;   54.340582;   12.710828;            3;Mecklenburg-Vorpommern                  ;
        320;Heinersreuth-Vollhof                    ;    49.96667;   11.519692;          350;Bayern                                  ;
        330;Beerfelden                              ;   49.561729;    8.967329;          450;Hessen                                  ;
        377;Bergzabern, Bad                         ;   49.107025;    7.996749;          252;Rheinland-Pfalz                         ;
        400;Berlin-Buch                             ;   52.630941;    13.50215;           60;Berlin                                  ;
        403;Berlin-Dahlem (FU)                      ;   52.453711;   13.301731;           51;Berlin                                  ;
        427;Berlin-Schönefeld                       ;   52.380698;   13.530609;           46;Brandenburg                             ;
        430;Berlin-Tegel                            ;   52.564412;   13.308848;           36;Berlin                                  ;
        433;Berlin-Tempelhof                        ;   52.467488;   13.402115;           48;Berlin                                  ;
        435;Berlin-Zehlendorf                       ;   52.428902;   13.232686;           45;Berlin                                  ;
        450;Bernkastel-Kues                         ;     49.9186;      7.0664;          120;Rheinland-Pfalz                         ;
        502;Bischbrunn                              ;   49.874669;     9.48829;          412;Bayern                                  ;
        591;Boizenburg                              ;   53.391084;   10.687761;           45;Mecklenburg-Vorpommern                  ;
        596;Boltenhagen                             ;   54.002806;   11.190772;           15;Mecklenburg-Vorpommern                  ;
        614;Borgentreich-Bühne                      ;   51.570874;    9.311999;          240;Nordrhein-Westfalen                     ;
        648;Brande-Hörnerkirchen                    ;   53.855114;     9.71521;            9;Schleswig-Holstein                      ;
        662;Braunschweig                            ;   52.291443;   10.446456;         81.2;Niedersachsen                           ;
        691;Bremen                                  ;   53.045015;    8.797904;          4.1;Bremen                                  ;
        701;Bremerhaven                             ;   53.533162;    8.576083;            7;Bremen                                  ;
        722;Brocken                                 ;    51.79862;   10.618265;       1133.9;Sachsen-Anhalt                          ;
        755;Buchen, Kr. Neckar-Odenwald             ;   49.518196;     9.32127;          340;Baden-Württemberg                       ;
        807;Schlüsselfeld (Kläranlage)              ;    49.74499;   10.643423;          290;Bayern                                  ;
