Stations_id;Bezugszeitraum;Jan.;Feb.;März;Apr.;Mai;Jun.;Jul.;Aug.;Sept.;Okt.;Nov.;Dez.;Jahr;
         3;1981-2010;        63;        85;       118;       164;       195;       198;       210;       192;       149;       119;        70;        51;      1614;
        44;1981-2010;        39;        69;       107;       170;       215;       195;       210;       197;       138;       105;        57;        32;      1534;
        73;1981-2010;        46;        70;       106;       173;       220;       214;       241;       223;       140;        97;        45;        39;      1614;
        78;1981-2010;        46;        73;       107;       164;       203;       189;       203;       188;       136;       105;        52;        37;      1503;
        91;1981-2010;        40;        69;       106;       165;       196;       197;       211;       197;       138;        92;        38;        29;      1478;
       142;1981-2010;        62;        87;       126;       171;       208;       210;       235;       217;       158;       112;        61;        47;      1694;
       150;1981-2010;        43;        73;       123;       186;       215;       219;       239;       227;       153;        88;        48;        36;      1649;
       151;1981-2010;        44;        77;       113;       169;       206;       203;       226;       212;       152;       107;        45;        34;      1588;
       164;1981-2010;        52;        72;       124;       186;       238;       219;       243;       217;       158;       115;        51;        40;      1714;
       183;1981-2010;        45;        65;       130;       206;       272;       252;       277;       242;       171;       117;        54;        38;      1869;
       198;1981-2010;        51;        73;       112;       172;       215;       207;       218;       204;       144;       103;        49;        38;      1586;
       217;1981-2010;        74;        92;       127;       162;       198;       197;       227;       208;       154;       121;        74;        57;      1691;
       232;1981-2010;        63;        84;       128;       177;       207;       219;       246;       222;       158;       109;        58;        47;      1720;
       243;1981-2010;        44;        69;       114;       178;       221;       195;       207;       194;       140;       103;        51;        37;      1553;
       257;1981-2010;        50;        73;       113;       164;       193;       212;       232;       216;       154;       100;        54;        35;      1596;
       259;1981-2010;        51;        74;       124;       163;       194;       217;       238;       222;       158;       104;        54;        37;      1636;
       282;1981-2010;        51;        80;       113;       173;       208;       211;       227;       214;       157;       106;        49;        39;      1626;
       298;1981-2010;        45;        65;       120;       190;       254;       231;       251;       216;       156;       110;        52;        35;      1725;
       320;1981-2010;        43;        69;       108;       174;       208;       207;       229;       217;       157;       109;        46;        35;      1600;
       330;1981-2010;        46;        83;       118;       170;       199;       203;       223;       214;       158;       108;        52;        36;      1610;
       377;1981-2010;        50;        84;       127;       176;       211;       224;       241;       226;       168;       104;        60;        40;      1711;
       400;1981-2010;        51;        73;       118;       183;       226;       217;       234;       216;       150;       114;        54;        40;      1676;
       403;1981-2010;        55;        75;       120;       187;       229;       217;       241;       220;       159;       121;        59;        43;      1726;
       427;1981-2010;        53;        75;       116;       185;       234;       220;       238;       219;       158;       118;        56;        42;      1714;
       430;1981-2010;        51;        70;       114;       181;       227;       216;       239;       220;       152;       116;        55;        41;      1682;
       433;1981-2010;        52;        74;       117;       181;       229;       219;       243;       220;       157;       119;        54;        40;      1706;
       435;1981-2010;        54;        75;       118;       184;       231;       219;       239;       220;       158;       119;        57;        43;      1717;
       450;1981-2010;        32;        66;       103;       164;       191;       199;       221;       200;       135;        90;        39;        22;      1462;
       502;1981-2010;        40;        72;       110;       160;       206;       204;       232;       219;       156;        98;        47;        30;      1571;
       591;1981-2010;        46;        69;       110;       178;       230;       207;       227;       208;       149;       110;        53;        35;      1622;
       596;1981-2010;        48;        69;       122;       189;       252;       228;       243;       218;       155;       117;        57;        39;      1736;
       614;1981-2010;        39;        66;       102;       159;       195;       190;       202;       189;       131;        90;        40;        29;      1432;
       648;1981-2010;        39;        64;        97;       158;       213;       189;       209;       201;       137;       100;        48;        31;      1485;
       662;1981-2010;        52;        74;       112;       172;       221;       215;       220;       209;       149;       112;        54;        40;      1630;
       691;1981-2010;        47;        71;       107;       170;       214;       193;       205;       193;       143;       108;        54;        40;      1545;
       701;1981-2010;        46;        70;       111;       174;       222;       196;       211;       196;       142;       104;        52;        37;      1561;
       722;1981-2010;        64;        78;        94;       148;       186;       169;       181;       176;       122;        96;        50;        55;      1417;
       755;1981-2010;        52;        76;       120;       177;       202;       200;       226;       220;       162;       105;        53;        38;      1628;
       807;1981-2010;        46;        77;       112;       171;       207;       207;       226;       214;       154;       106;        48;        34;      1602;
       817;1981-2010;        40;        71;       106;       163;       193;       193;       208;       194;       135;        93;        39;        30;      1465;
       850;1981-2010;        48;        71;       105;       160;       215;       198;       216;       206;       144;       106;        52;        35;      1553;
       853;1981-2010;        69;        82;       113;       167;       209;       197;       218;       208;       150;       124;        64;        56;      1656;
       863;1981-2010;        49;        72;       100;       152;       187;       178;       190;       178;       131;        97;        48;        38;      1420;
       867;1981-2010;        47;        75;       109;       166;       204;       200;       216;       204;       149;       104;        46;        39;      1559;
       880;1981-2010;        57;        75;       120;       184;       231;       220;       239;       225;       159;       122;        61;        48;      1741;
       891;1981-2010;        50;        75;       121;       185;       236;       212;       227;       210;       150;       111;        58;        38;      1672;
       963;1981-2010;        45;        72;       108;       166;       208;       191;       205;       193;       139;       107;        51;        37;      1522;
       979;1981-2010;        43;        74;       108;       165;       194;       197;       213;       198;       139;        95;        43;        31;      1500;
       982;1981-2010;        53;        79;       119;       168;       202;       212;       234;       215;       152;       100;        52;        38;      1624;
      1001;1981-2010;        56;        75;       115;       178;       220;       209;       230;       215;       153;       119;        58;        45;      1673;
      1048;1981-2010;        61;        77;       112;       172;       218;       200;       224;       212;       150;       119;        61;        53;      1659;
      1072;1981-2010;        47;        79;       123;       175;       207;       218;       237;       220;       160;       103;        52;        37;      1658;
      1078;1981-2010;        55;        76;       112;       165;       199;       193;       208;       191;       139;       111;        57;        44;      1550;
      1103;1981-2010;        69;        90;       126;       167;       200;       197;       222;       208;       158;       120;        68;        50;      1675;
      1107;1981-2010;        46;        77;       113;       170;       205;       205;       224;       212;       154;       105;        48;        34;      1593;
