attack_wkr;attack_count
2;0
6;0
7;0
19;0
20;0
21;0
23;0
25;0
27;0
28;0
36;0
37;0
39;0
40;0
41;0
50;0
51;0
55;0
77;0
78;0
79;0
81;0
88;0
91;0
92;0
95;0
96;0
98;0
104;0
107;0
108;0
109;0
110;0
116;0
118;0
120;0
123;0
128;0
132;0
133;0
141;0
143;0
144;0
146;0
152;0
168;0
170;0
171;0
177;0
178;0
179;0
180;0
181;0
183;0
184;0
185;0
197;0
198;0
201;0
204;0
205;0
206;0
208;0
209;0
213;0
215;0
219;0
220;0
221;0
223;0
227;0
237;0
238;0
240;0
242;0
243;0
244;0
245;0
248;0
250;0
251;0
252;0
254;0
259;0
260;0
261;0
263;0
267;0
271;0
272;0
273;0
275;0
280;0
281;0
284;0
285;0
286;0
287;0
289;0
290;0
293;0
294;0
296;0
297;0
